,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_rate,params_learning_starts,params_lr_schedule,params_net_arch,params_subsample_steps,params_target_update_interval,params_train_freq,state
0,0,25.00000037252903,2022-08-11 16:18:27.265153,2022-08-11 16:20:28.948560,0 days 00:02:01.683407,256,1000000,0.042360707332309615,0.3293134312482281,0.98,0.37907630682455795,10000,constant,large,4,20000,128,COMPLETE
1,1,-499.0,2022-08-11 16:20:29.120823,2022-08-11 16:22:17.597000,0 days 00:01:48.476177,128,50000,0.09823043258802006,0.4433284278061945,0.9999,0.005077982559511224,0,constant,small,1,1,4,PRUNED
2,2,25.00000037252903,2022-08-11 16:22:17.625985,2022-08-11 16:24:30.673331,0 days 00:02:13.047346,16,50000,0.04511016652196416,0.2307102280822687,0.9999,0.00021664187194281388,10000,constant,large,4,10000,128,COMPLETE
3,3,25.00000037252903,2022-08-11 16:24:30.794820,2022-08-11 16:26:55.282489,0 days 00:02:24.487669,16,100000,0.19784198316216495,0.15341343571444965,0.98,4.428219817748801e-05,20000,linear,medium,8,10000,1,COMPLETE
4,4,25.00000037252903,2022-08-11 16:26:55.393972,2022-08-11 16:29:18.368154,0 days 00:02:22.974182,64,1000000,0.11633878363276971,0.007136767341135775,0.999,0.6239054824214578,20000,linear,small,1,1,8,COMPLETE
5,5,65.3754583183676,2022-08-11 16:29:18.533004,2022-08-11 16:33:09.166483,0 days 00:03:50.633479,512,100000,0.023121570971509287,0.02089485439481109,0.98,0.0021103730031372617,20000,constant,small,8,5000,4,COMPLETE
6,6,80.23017480131239,2022-08-11 16:33:09.287176,2022-08-11 16:38:14.601590,0 days 00:05:05.314414,256,100000,0.14645071294373752,0.18482613677056148,0.995,0.00023008328669717152,0,linear,small,4,15000,1,COMPLETE
7,7,-404.4393280170858,2022-08-11 16:38:14.770261,2022-08-11 16:41:08.070276,0 days 00:02:53.300015,512,1000000,0.16376666819467278,0.023243647777724696,0.9999,0.007344365771127752,1000,constant,large,4,5000,1000,PRUNED
8,8,-309.28840286433694,2022-08-11 16:41:08.153871,2022-08-11 16:43:29.336875,0 days 00:02:21.183004,128,1000000,0.1067502208293496,0.2596387063701464,0.9,0.03628912019815487,20000,linear,small,4,5000,1000,PRUNED
9,9,25.00000037252903,2022-08-11 16:43:29.459200,2022-08-11 16:45:32.071576,0 days 00:02:02.612376,32,10000,0.13229470021312303,0.41755035453227946,0.99,0.12195675651058444,10000,constant,large,4,1000,16,COMPLETE
